,source,target,weight
140,2211//,8123//,0.3102409638554217
141,2212//,3255//,0.3076923076923077
142,2212//,3271//,0.2978723404255319
143,2213//,6243//,0.319634703196347
144,2213//,5312//,0.319047619047619
145,2213//,6111//,0.3090909090909091
146,2213//,6221//,0.3113207547169811
147,2361//,5419//,0.6445396145610278
148,2361//,7139//,0.6437246963562753
149,2361//,7224//,0.6021978021978022
150,2361//,2383//,0.4703296703296703
151,2361//,2362//,0.4989010989010989
152,2361//,2373//,0.3208791208791209
153,2361//,2381//,0.5869565217391305
154,2361//,2382//,0.5513245033112583
155,2361//,2389//,0.5513428120063191
156,2361//,3219//,0.33186813186813185
157,2361//,3273//,0.4153846153846154
158,2361//,3327//,0.34725274725274724
159,2361//,4238//,0.40036563071297987
160,2361//,4244//,0.35384615384615387
161,2361//,4249//,0.4835164835164835
162,2361//,4411//,0.49078947368421055
163,2361//,4412//,0.5275142314990512
164,2361//,4413//,0.4936562860438293
165,2361//,4421//,0.4893238434163701
166,2361//,4422//,0.5751633986928104
167,2361//,4431//,0.5560439560439561
168,2361//,4441//,0.502944640753828
169,2361//,4442//,0.4977843426883309
170,2361//,4451//,0.5301369863013699
171,2361//,4452//,0.4901098901098901
172,2361//,4453//,0.5164609053497943
173,2361//,4461//,0.4890322580645161
174,2361//,4471//,0.4885057471264368
175,2361//,4481//,0.44835164835164837
176,2361//,4482//,0.4650655021834061
177,2361//,4483//,0.47692307692307695
178,2361//,4511//,0.5318021201413428
179,2361//,4512//,0.3362637362637363
180,2361//,4522//,0.3142857142857143
181,2361//,4523//,0.4805013927576602
182,2361//,4531//,0.506198347107438
183,2361//,4532//,0.5872340425531914
184,2361//,4533//,0.5747126436781609
185,2361//,4539//,0.5378548895899053
186,2361//,4543//,0.5311973018549747
187,2361//,4841//,0.43471074380165287
188,2361//,4842//,0.4726443768996961
189,2361//,4884//,0.3868131868131868
190,2361//,5173//,0.41098901098901097
191,2361//,5221//,0.48771929824561405
192,2361//,5242//,0.4725274725274725
193,2361//,5311//,0.3802197802197802
194,2361//,5312//,0.389010989010989
195,2361//,5322//,0.4548440065681445
196,2361//,5412//,0.3120879120879121
197,2361//,5617//,0.5873015873015873
198,2361//,5621//,0.37142857142857144
199,2361//,6211//,0.486697965571205
200,2361//,6212//,0.5183374083129584
201,2361//,6213//,0.510828025477707
202,2361//,6214//,0.5153374233128835
203,2361//,6216//,0.444007858546169
204,2361//,6219//,0.3010989010989011
205,2361//,6231//,0.44329896907216493
206,2361//,6232//,0.46153846153846156
207,2361//,6233//,0.55859375
208,2361//,6241//,0.5195911413969335
209,2361//,6242//,0.4835164835164835
210,2361//,6244//,0.5093696763202725
211,2361//,7211//,0.4879120879120879
212,2361//,7212//,0.48131868131868133
213,2361//,7223//,0.31868131868131866
214,2361//,7225//,0.5238095238095238
