,source,target,weight
73,22,32,0.32558139534883723
74,22,162,0.35
75,22,370,0.325
76,22,471,0.3559322033898305
77,23,619,0.25
78,24,466,0.3888888888888889
79,31,102,0.35555555555555557
80,31,32,0.28888888888888886
81,32,161,0.34782608695652173
82,32,105,0.32653061224489793
83,51,651,0.3333333333333333
84,51,52,0.16666666666666666
85,61,91,0.5384615384615384
86,61,491,0.42857142857142855
87,61,501,0.2857142857142857
88,61,192,0.35714285714285715
89,61,871,0.3333333333333333
90,62,263,0.5
91,62,301,0.5
92,62,304,0.5
93,62,843,0.5
94,62,495,0.3333333333333333
95,62,266,0.3333333333333333
96,62,303,0.5
97,62,531,0.5
98,62,620,0.3333333333333333
99,62,652,0.5
100,62,661,0.4
101,62,663,0.3333333333333333
102,71,191,0.25
103,72,331,0.3142857142857143
104,81,750,0.3656716417910448
105,81,421,0.3235294117647059
106,81,107,0.32142857142857145
107,81,133,0.3188405797101449
108,81,521,0.3382352941176471
109,81,841,0.3431952662721893
110,81,851,0.32786885245901637
111,81,853,0.3263157894736842
112,81,952,0.3170731707317073
113,81,960,0.3235294117647059
114,81,981,0.3382352941176471
115,89,235,0.36363636363636365
116,91,192,0.42857142857142855
117,91,559,0.375
118,91,712,0.3333333333333333
119,91,771,0.3142857142857143
120,91,783,0.3333333333333333
121,99,743,0.3333333333333333
122,99,552,0.2962962962962963
123,101,873,0.43243243243243246
124,101,310,0.3142857142857143
125,101,462,0.3142857142857143
126,103,172,0.38461538461538464
127,103,234,0.35714285714285715
128,103,203,0.3333333333333333
129,103,212,0.3333333333333333
130,103,323,0.3333333333333333
131,103,532,0.3333333333333333
132,104,682,0.30434782608695654
133,105,494,0.41379310344827586
134,105,872,0.3877551020408163
135,105,106,0.3469387755102041
136,105,452,0.4074074074074074
137,105,471,0.3220338983050847
138,105,478,0.32075471698113206
139,105,521,0.32786885245901637
140,105,742,0.3684210526315789
141,105,879,0.32653061224489793
142,105,889,0.3584905660377358
143,105,952,0.32926829268292684
144,106,879,0.475
145,106,139,0.3333333333333333
146,106,161,0.34782608695652173
147,106,222,0.325
148,106,453,0.35
149,106,462,0.375
150,106,463,0.35
151,106,471,0.3220338983050847
152,106,521,0.3442622950819672
153,106,872,0.3541666666666667
154,107,851,0.5491803278688525
155,107,133,0.5238095238095238
156,107,952,0.5238095238095238
157,107,143,0.38095238095238093
158,107,264,0.32142857142857145
159,107,360,0.32
160,107,472,0.4166666666666667
161,107,478,0.44047619047619047
162,107,479,0.5119047619047619
163,107,750,0.3283582089552239
164,107,841,0.3905325443786982
165,107,852,0.32142857142857145
166,107,853,0.49473684210526314
167,107,855,0.4318181818181818
168,107,861,0.38285714285714284
169,107,910,0.3194444444444444
170,107,932,0.33766233766233766
171,107,960,0.42857142857142855
172,107,970,0.32142857142857145
173,107,981,0.35714285714285715
174,108,252,0.29411764705882354
175,109,454,0.40625
176,109,222,0.3548387096774194
177,109,682,0.3448275862068966
178,109,862,0.3125
179,110,802,0.36363636363636365
180,110,172,0.3181818181818182
181,110,463,0.3181818181818182
182,120,823,0.2
183,131,323,0.3333333333333333
184,131,132,0.21428571428571427
185,133,479,0.6086956521739131
186,133,981,0.4927536231884058
187,133,141,0.34782608695652173
188,133,143,0.42028985507246375
189,133,472,0.3157894736842105
190,133,478,0.43478260869565216
191,133,841,0.3609467455621302
192,133,851,0.5
193,133,852,0.4057971014492754
194,133,853,0.37894736842105264
195,133,855,0.3484848484848485
196,133,861,0.33714285714285713
197,133,889,0.3188405797101449
198,133,932,0.3181818181818182
199,133,952,0.34146341463414637
200,133,960,0.5072463768115942
201,133,970,0.4057971014492754
202,139,141,0.40476190476190477
203,139,970,0.40476190476190477
204,139,143,0.32075471698113206
205,139,310,0.35714285714285715
206,139,473,0.3333333333333333
207,139,478,0.3584905660377358
208,139,479,0.3620689655172414
209,139,494,0.3275862068965517
210,139,852,0.32558139534883723
211,139,960,0.39622641509433965
212,139,982,0.35714285714285715
213,141,310,0.4411764705882353
214,141,239,0.35294117647058826
215,141,143,0.3584905660377358
216,141,222,0.35294117647058826
217,141,236,0.38235294117647056
218,141,264,0.3142857142857143
